Key,en,es,ar,fr
activation Fee,Activation Fee,Cuota de activación,رسوم التنشيط,Frais d'activation
view More Info,View More Info,Ver más información,عرض مزيد من المعلومات,Afficher plus d'informations
gift Friends,Gift friends with virtual cards,Regala tarjetas virtuales a tus amigos,قم بإهداء الأصدقاء بالبطاقات الافتراضية,Offrez à vos amis des cartes virtuelles
delivered,Delivered instantly by email,Entregado instantáneamente por correo electrónico,يتم تسليمها على الفور عن طريق البريد الإلكتروني,Livré instantanément par email
redeemable For,Redeemable for online purchases,Canjeable por compras en línea,قابلة للاسترداد لعمليات الشراء عبر الإنترنت,Échangeable pour des achats en ligne
after You Buy,"After you buy it, you can show this number.","Después de comprarlo, puedes mostrar este número.",بعد شرائه، يمكنك إظهار هذا الرقم.,"Après l'avoir acheté, vous pouvez afficher ce numéro."
expiry Date,Expiry Date,Fecha de caducidad,تاريخ الانتهاء,Date d'expiration
cvc,CVC,CVC,رمز التحقق من البطاقة,CVC
nine Elevent,09-Nov,09-noviembre,09-نوفمبر,09-nov
nine Six,963,963,963,963
buy Now,Buy Now,Comprar ahora,اشتري الآن,Acheter maintenant
agency Fb,9864 1326 7135 3126,9864 1326 7135 3126,9864 1326 7135 3126,9864 1326 7135 3126
fund,Fund,Fondo,تمويل,Fonds
card Load Type,Card Load Type,Tipo de carga de tarjeta,نوع تحميل البطاقة,Type de chargement de carte
inssuance Fee,Inssuance Fee,Tarifa de seguro,رسوم التأمين,Frais d'assurance
select Bill Category,Select Bill Category,Seleccionar categoría de factura,اختر فئة الفاتورة,Sélectionnez la catégorie de facture
enter Bill Number,Enter Bill Number,Ingrese el número de factura,أدخل رقم الفاتورة,Entrez le numéro de facture
bill Type,Bill Type,Tipo de factura,نوع الفاتورة,Type de facture
account Number,Account Number,Número de cuenta,رقم حساب,Numéro de compte
enter Account Number,Enter Account Number,Ingrese el número de cuenta,أدخل رقم الحساب,Entrez le numéro de compte
bank Name,Bank Name,Nombre del banco,اسم البنك,Nom de banque
enter Bank Name,Enter Bank Name,Ingrese el nombre del banco,أدخل اسم البنك,Entrez le nom de la banque
pay Bill,Pay Bill,Pagar la factura,فاتورة الأجرة,Masse salariale
payment Success,Payment Success,pago exitoso,الدفع الناجح,Succès du paiement
electicity,Electicity,Electricidad,كهرباء,Électricité
charge,Charge,Cargar,تكلفة,Charge
received Amount,Received Amount,Cantidad recibida,المبلغ الذي تسلمه,Montant reçu
b N135678951,B/N135678951,B/N135678951,ب/N135678951,B/N135678951
your Bill Has Been Paid,Your bill has been paid Successfully. Thanks for using,Su factura ha sido pagada exitosamente. Gracias por usar,لقد تم دفع فاتورتك بنجاح. شكرا للاستخدام,Votre facture a été payée avec succès. Merci d'avoir utilisé
load Fee,Load Fee,Tarifa de carga,رسوم التحميل,Frais de chargement
min Load,Min Load,Carga mínima,الحد الأدنى للتحميل,Charge minimale
max Load,Max Load,Carga maxima,الحمولة القصوى,Charge maximale
validity,Validity,Validez,صلاحية,Validité
monthly Fees,Monthly Fees,Cargos mensuales,الرسوم الشهرية,Frais mensuels
enter Mobile Number,Enter Mobile Number,Ingrese el número de móvil,أدخل رقم الجوال,Entrez le numéro de portable
mobile Top Up Type,Mobile Top Up Type,Tipo de recarga móvil,نوع تعبئة رصيد الهاتف المحمول,Type de recharge mobile
select Mobile Category,Select Mobile Category,Seleccione categoría móvil,حدد فئة الجوال,Sélectionnez la catégorie mobile
a Tt Mobility,AT&T Mobility,Movilidad de AT&T,AT&T التنقل,AT&T Mobilité
plus1611,+1 611 2357 896,+1 611 2357 896,+1 611 2357 896,+1 611 2357 896
top Up Now,Top Up Now,Recargar ahora,اشحن رصيدك الآن,Recharger maintenant
mobile Top Up Success,Mobile Top Up Success,Éxito en la recarga móvil,نجاح تعبئة رصيد الهاتف المحمول,Succès de la recharge mobile
your Mobile Top Up,Your mobile top up has been Successfull. Thanks for using,Tu recarga de móvil ha sido exitosa. Gracias por usar,لقد تمت عملية تعبئة رصيد هاتفك المحمول بنجاح. شكرا للاستخدام,Votre recharge mobile a réussi. Merci d'avoir utilisé
google Play,Download On The,Descargar en el,تحميل على,Télécharger sur le
google Play Gift Card,Google Play Gift Card,Tarjeta de regalo de Google Play,بطاقة هدايا جوجل بلاي,Carte cadeau Google Play
category,Category,Categoría,فئة,Catégorie
five,5,5,5,5
cardsfive,5 Cards,5 cartas,5 بطاقات,5 cartes
available,Available,Disponible,متاح,Disponible
cards,/cards,/tarjetas,/cards,/cartes
price Card,Price/card,Precio/tarjeta,السعر/البطاقة,Prix/carte
more Info,More Info,Más información,مزيد من المعلومات,Plus d'informations
price,Price,Precio,سعر,Prix
pricebycard,Price/card,Precio/tarjeta,السعر/البطاقة,Prix/carte
card Details,Card Details,Detalles de tarjeta,معلومات البطاقة,Détails de la carte
quantity,Quantity,Cantidad,كمية,Quantité
giftcard Purchase,Giftcard Purchase,Compra de tarjeta de regalo,شراء بطاقة الهدايا,Achat de carte-cadeau
u SDzero,0.00 USD,"0,00 USD",0.00 دولار أمريكي,"0,00 USD"
sub Category,Sub Category,Subcategoría,تصنيف فرعي,Sous-catégorie
your Giff Card,Your Giftcard has been purchase Successfully. Thanks for using,Tu tarjeta de regalo se ha comprado correctamente. Gracias por usar,لقد تم شراء بطاقة الهدايا الخاصة بك بنجاح. شكرا للاستخدام,Votre carte-cadeau a été achetée avec succès. Merci d'avoir utilisé
profile,Profile,Perfil,حساب تعريفي,Profil
my Wallet,My Wallet,Mi billetera,محفظتى,Mon portefeuille
my Virtual Cards,My Virtual Cards,Mis Tarjetas Virtuales,بطاقاتي الافتراضية,Mes cartes virtuelles
update Profile,Update Profile,Actualización del perfil,تحديث الملف,Mettre à jour le profil
update KYCForm,Update KYC Form,Actualizar formulario KYC,تحديث نموذج KYC,Mettre à jour le formulaire KYC
f A2Security,2FA Security,Seguridad 2FA,2FA الأمن,Sécurité 2FA
nine Eight,9864  5689  4623  1475,9864 5689 4623 1475,9864 5689 4623 1475,9864 5689 4623 1475
plus Buy New Card,+ Buy New Card,+ Comprar nueva tarjeta,+ شراء بطاقة جديدة,+ Acheter une nouvelle carte
enter Amount,Enter Amount,Ingrese el monto,أدخل المبلغ,Entrer le montant
add Fund,Add Fund,Agregar fondo,أضف الصندوق,Ajouter un fonds
buy Card,Buy Card,Comprar Tarjeta,شراء البطاقة,Acheter une carte
add Fund Succes,Add Fund Success,Agregar éxito del fondo,إضافة نجاح الصندوق,Ajouter un fonds avec succès
your Money Added Succes,Your money has been deposit Successfully. Thanks for using,Su dinero ha sido depositado exitosamente. Gracias por usar,لقد تم إيداع أموالك بنجاح. شكرا للاستخدام,Votre argent a été déposé avec succès. Merci d'avoir utilisé
upload Passport Nid Dri,Upload Passport / NID / Driving Lic. etc doc for verification,Subir Pasaporte / NID / Licencia de Conducir. etc doc para verificación,تحميل جواز السفر / NID / رخصة القيادة. الخ وثيقة للتحقق,Téléchargez votre passeport / NID / Permis de conduire. etc doc pour vérification
update KYC,Update KYC,Actualizar KYC,تحديث اعرف عميلك,Mettre à jour le KYC
enable2FASecurity,Enable 2FA Security,Habilitar la seguridad 2FA,تمكين أمان 2FA,Activer la sécurité 2FA
two FADetails,We’ll ask for a verification code via your security method if we notice a login from an unrecogn-ized device or browser. Enable your 2FA Security,Le solicitaremos un código de verificación a través de su método de seguridad si detectamos un inicio de sesión desde un dispositivo o navegador no reconocido. Habilite su seguridad 2FA,سنطلب رمز التحقق عبر طريقة الأمان الخاصة بك إذا لاحظنا تسجيل دخول من جهاز أو متصفح غير معروف. قم بتمكين أمان 2FA الخاص بك,Nous vous demanderons un code de vérification via votre méthode de sécurité si nous remarquons une connexion à partir d'un appareil ou d'un navigateur non reconnu. Activez votre sécurité 2FA
send Verification Code,Send Verification Code,Envíe el código de verificación,إرسال رمز التحقق,Envoyer le code de vérification
your Two Security HAs Been Active,Your 2FA Security has been activate Successfully.,Su seguridad 2FA se ha activado correctamente.,لقد تم تفعيل أمان المصادقة الثنائية (2FA) بنجاح.,Votre sécurité 2FA a été activée avec succès.
transactions Log,Transactions Log,Registro de transacciones,سجل المعاملات,Journal des transactions
transaction Log,Transaction Logs,Registros de transacciones,سجلات المعاملات,Journaux de transactions
virtual Card Log,Virtual Card Log,Registro de tarjeta virtual,سجل البطاقة الافتراضية,Journal de carte virtuelle
help Center,Help Center,Centro de ayuda,مركز المساعدة,Centre d'aide
privacy Policy,Privacy & Policy,Política de privacidad,سياسة الخصوصية,Politique de confidentialité
about Us,About Us,Sobre nosotros,معلومات عنا,À propos de nous
colnel Arichart,Colnel Arichart,coronel arichart,العقيد أريتشارت,Colonel Arichart
colnel Gmail,Colnelarichart@gmail.com,Colnelarichart@gmail.com,Colnelarichart@gmail.com,Colnelarichart@gmail.com
sign Out,Sign Out,Desconectar,خروج,Se déconnecter
saved Receipients,Saved Receipients,Destinatarios guardados,المستلمون المحفوظون,Destinataires enregistrés
giftcard Log,Giftcard Log,Registro de tarjetas de regalo,سجل بطاقات الهدايا,Journal des cartes-cadeaux
bill Payment Log,Bill Payment Log,Registro de pago de facturas,سجل دفع الفواتير,Journal de paiement de factures
mobile Top Up Log,Mobile Top Up Log,Registro de recarga móvil,سجل تعبئة رصيد الهاتف المحمول,Journal de recharge mobile
redeem Card,Redeem Card,Canjear tarjeta,استرداد البطاقة,Utiliser la carte
t Mobile US,T-Mobile US,T-Mobile EE. UU.,تي موبايل الولايات المتحدة,T-Mobile États-Unis
verizon,Verizon,Verizon,فيريزون,Verizon
education,Education,Educación,تعليم,Éducation
gass Bill,Gass Bill,factura de gas,فاتورة الغاز,Facture de gaz
internet,Internet,Internet,إنترنت,l'Internet
telephone,Telephone,Teléfono,هاتف,Téléphone
tr X9VW3SWKA9Y,TRX-6J9VW3SWKA9Y,TRX-6J9VW3SWKA9Y,TRX-6J9VW3SWKA9Y,TRX-6J9VW3SWKA9Y
trx Net99,TRX-Netflix 99,TRX-Netflix 99,تي آر إكس - نتفليكس 99,TRX-Netflix 99
agreed,Please agree with term and condition,Por favor acepte los términos y condiciones.,يرجى الموافقة على المصطلح والشرط,Veuillez accepter les termes et conditions
delete Account,Delete Account,Borrar cuenta,حذف الحساب,Supprimer le compte
old Password,Old Password,Contraseña anterior,كلمة المرور القديمة,ancien mot de passe
enter Old Password,Enter Old Password,Ingrese la contraseña anterior,أدخل كلمة المرور القديمة,Entrez l'ancien mot de passe
paypal Payment,Paypal Payment,Pago PayPal,الدفع باي بال,Paiement PayPal
flutterwave Payment,Flutterwave Payment,Pago de onda fluida,الدفع Flutterwave,Paiement Flutterwave
razor Pay Payment,Razorpay Payment,Pago de Razorpay,دفع Razorpay,Paiement Razorpay
pagadito Payment,Pagadito Payment,Pago Pagadito,الدفع باجاديتو,Paiement Pagadito
we Ask For Verification,We’ll ask for a verification code via your security method if we notice a login from an unrecogn-ized device or browser. Enable your 2FA Security,Le solicitaremos un código de verificación a través de su método de seguridad si detectamos un inicio de sesión desde un dispositivo o navegador no reconocido. Habilite su seguridad 2FA,سنطلب رمز التحقق عبر طريقة الأمان الخاصة بك إذا لاحظنا تسجيل دخول من جهاز أو متصفح غير معروف. قم بتمكين أمان 2FA الخاص بك,Nous vous demanderons un code de vérification via votre méthode de sécurité si nous remarquons une connexion à partir d'un appareil ou d'un navigateur non reconnu. Activez votre sécurité 2FA
credit Card Sample Text,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old.'","Contrariamente a la creencia popular, Lorem Ipsum no es simplemente un texto aleatorio. Tiene sus raíces en una pieza de literatura latina clásica del 45 a.C., por lo que tiene más de 2.000 años.'",خلافاً للاعتقاد الشائع، فإن لوريم إيبسوم ليس مجرد نص عشوائي. تعود جذورها إلى قطعة من الأدب اللاتيني الكلاسيكي تعود إلى عام 45 قبل الميلاد، مما يجعلها عمرها أكثر من 2000 عام.,"Contrairement à la croyance populaire, le Lorem Ipsum n’est pas simplement un texte aléatoire. Il a ses racines dans un morceau de littérature latine classique datant de 45 avant JC, soit plus de 2000 ans."
card Holder,Card Holder,Titular de la tarjeta,حامل البطاقة,Titulaire de la carte
valid Thru,VALID THRU,VÁLIDO HASTA,صالح من خلال,VALIDE JUSQU'AU
pay Now,Pay Now,Pagar ahora,ادفع الآن,Payez maintenant
reloadable,Reloadable,Recargable,قابلة لإعادة التحميل,Rechargeable
not Reloadable,Not Reloadable,No recargable,غير قابلة لإعادة التحميل,Non rechargeable
account Id,Account Id,ID de la cuenta,معرف الحساب,Identifiant de compte
card Pan,Card Pan,Bandeja de tarjetas,عموم البطاقة,Plateau de cartes
expiration,Expiration,Vencimiento,انتهاء الصلاحية,Expiration
city,City,Ciudad,مدينة,Ville
state,State,Estado,ولاية,État
enter State,Enter State,Ingresar estado,إدخال الدولة,Entrer l'état
address,Address,DIRECCIÓN,عنوان,Adresse
enter Address,Enter Address,Ingresa la direccion,أدخل العنوان,Entrer l'adresse
zip,Zip Code,Código postal,الرمز البريدي,Code postal
block,Block,Bloquear,حاجز,Bloc
unblock,Unblock,Desatascar,رفع الحظر,Débloquer
de Activated,Send Money,Enviar dinero,إرسال الأموال,Envoyer de l'argent
not Valid User,Not Valid User,Usuario no válido,مستخدم غير صالح,Utilisateur non valide
pick Up Point,Pick Up Point,Punto de recogida,نقطة الالتقاط,Point de retrait
create Card,Create Card,Crear tarjeta,إنشاء بطاقة,Créer une carte
empty Status,No data found,Datos no encontrados,لاتوجد بيانات,Aucune donnée disponible
sign In With Touch Id,Sign in with touch id,Iniciar sesión con Touch ID,قم بتسجيل الدخول باستخدام معرف اللمس,Connectez-vous avec Touch ID
delete Account Sub Title,Do you want to delete your account?,¿Quieres eliminar tu cuenta?,هل تريد حذف حسابك؟,Voulez-vous supprimer votre compte ?
verify OTP,Verify OTP,Verificar OTP,التحقق من كلمة المرور لمرة واحدة (OTP).,Vérifier OTP
fees And Charges,Fees & Charges,Tarifas y cargos,الرسوم والمصاريف,Frais et charges
received,Received,Recibió,تلقى,Reçu
total Fee,Total Fee,Costo total,مجموع الرسوم,Montant total
log Message,Do You Want To Sign Out?,¿Quieres cerrar sesión?,هل تريد تسجيل الخروج؟,Voulez-vous vous déconnecter ?
make Default,Make Default,Hacer por defecto,جعل الافتراضي,Faire défaut
remove Default,Remove Default,Eliminar valor predeterminado,إزالة الافتراضي,Supprimer la valeur par défaut
add Money Log,Add Money Log,Agregar registro de dinero,إضافة سجل الأموال,Ajouter un journal d'argent
withdraw Log,Withdraw Money Logs,Retirar registros de dinero,سحب سجلات الأموال,Retirer les journaux d'argent
transfer Money Log,Remittance Log,Registro de remesas,سجل التحويلات,Journal des remises
merchant Payment Log,Merchant  Payment Log,Registro de pagos del comerciante,سجل دفع التاجر,Journal de paiement du commerçant
add Sub Balance Log,Add Sub balance Log,Agregar registro de saldo secundario,إضافة سجل الرصيد الفرعي,Ajouter un journal de sous-solde
transaction Id,Tnx,Tnx,ثانكس,Transmission
total Received,Total Received,Total recibido,إجمالي المستلمة,Total reçu
remark,Remark,Observación,ملاحظة,Remarque
time And Date,Time and Date,Hora y fecha,الوقت و التاريخ,Heure et date
recipient Amount,Recipient Amount,Importe del destinatario,المبلغ المستلم,Montant du destinataire
request Amount,Request Amount,Cantidad de la solicitud,مبلغ الطلب,Montant de la demande
fee And Charge,Fee & Charge,Tarifa y cargo,تهمة رسوم,Frais et charges
top Up Type,Top Up Type,Tipo de recarga,نوع التعبئة,Type de recharge
card Amount,Card Amount,Monto de la tarjeta,مبلغ البطاقة,Montant de la carte
card Masked,Card Masked,tarjeta enmascarada,بطاقة ملثمين,Carte masquée
recipient Name,Recipient Name,Nombre del Recipiente,اسم المستلم,Nom du destinataire
Change Language,Change Language,Cambiar idioma,تغيير اللغة,Changer de langue
unsupported Country,Unsupported region / Permission Denied,Región no admitida/permiso denegado,منطقة غير مدعومة / تم رفض الإذن,Région non prise en charge/Autorisation refusée
already Have An Account,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب؟,Vous avez déjà un compte?
enter The OTP Code Send To,Enter The OTP Code Sent to,Ingrese el código OTP enviado a,أدخل رمز OTP المرسل إليه,Entrez le code OTP envoyé à
enter The Google Auth OTP Code,Enter OTP Code From Google Authenticator,Ingrese el código OTP del Autenticador de Google,أدخل رمز OTP من Google Authenticator,Entrez le code OTP de Google Authenticator
OTP Verification,OTP Verification,Verificación OTP,التحقق من OTP,Vérification OTP
the Code Is Not Valid,The code is not valid,El código no es válido.,الرمز غير صالح,Le code n'est pas valide
continue Label,Continue,Continuar,يكمل,Continuer
kYC Form Details,Please input all the fild for sign in to your account to get access to your dashboard.,Ingrese todos los campos para iniciar sesión en su cuenta y obtener acceso a su panel de control.,يرجى إدخال كافة الحقول لتسجيل الدخول إلى حسابك لتتمكن من الوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir tous les champs pour vous connecter à votre compte afin d'accéder à votre tableau de bord.
enter Business Name,Enter Business Name,Ingrese el nombre comercial,أدخل اسم العمل,Entrez le nom de l'entreprise
business Name,Business Name,Nombre del Negocio,الاسم التجاري,Nom de l'entreprise
sender,Sender,Remitente,مرسل,Expéditeur
welcome Back To,Welcome Back to,Bienvenido de nuevo a,مرحبا بكم مرة أخرى في,Bon retour à
send Money Successfully,Your money has been send successfully. Thanks for using ,Su dinero ha sido enviado exitosamente. Gracias por usar ,لقد تم إرسال أموالك بنجاح. شكرا للاستخدام ,Votre argent a été envoyé avec succès. Merci d'avoir utilisé
gateway Balance,Gateway Balance,Saldo de puerta de enlace,ميزان البوابة,Solde de la passerelle
received Balance,Received Balance,Saldo recibido,الرصيد المستلم,Solde reçu
your Money Withdraw Success,Your money has been withdraw Successfully. Thanks for using ,Su dinero ha sido retirado con éxito. Gracias por usar ,لقد تم سحب أموالك بنجاح. شكرا للاستخدام ,Votre argent a été retiré avec succès. Merci d'avoir utilisé
back To Home,Back to Home,De vuelta a casa,العودة إلى المنزل,De retour à la maison
your Money Has Been Failed,Your money has been Failed..!! Try Again! Thanks for using,¡¡Tu dinero ha fallado..!! ¡Intentar otra vez! Gracias por usar,لقد فشلت أموالك..!! حاول ثانية! شكرا للاستخدام,Votre argent a échoué .. !! Essayer à nouveau! Merci d'avoir utilisé
electricity,Electricity,Electricidad,كهرباء,Électricité
update KYC Form,Update KYC Form,Actualizar formulario KYC,تحديث نموذج KYC,Mettre à jour le formulaire KYC
fA Security,2FA Security,Seguridad 2FA,2FA الأمن,Sécurité 2FA
enable fA Security,Enable 2FA Security,Habilitar la seguridad 2FA,تمكين أمان 2FA,Activer la sécurité 2FA
two Fa Security,2FA Security,Seguridad 2FA,2FA الأمن,Sécurité 2FA
two FA Details,We’ll ask for a verification code via your security method if we notice a login from an unrecogn-ized device or browser. Enable your 2FA Security,Le solicitaremos un código de verificación a través de su método de seguridad si detectamos un inicio de sesión desde un dispositivo o navegador no reconocido. Habilite su seguridad 2FA,سنطلب رمز التحقق عبر طريقة الأمان الخاصة بك إذا لاحظنا تسجيل دخول من جهاز أو متصفح غير معروف. قم بتمكين أمان 2FA الخاص بك,Nous vous demanderons un code de vérification via votre méthode de sécurité si nous remarquons une connexion à partir d'un appareil ou d'un navigateur non reconnu. Activez votre sécurité 2FA
your Two Security HA s Been Active,Your 2FA Security has been activate Successfully.,Su seguridad 2FA se ha activado correctamente.,لقد تم تفعيل أمان المصادقة الثنائية (2FA) بنجاح.,Votre sécurité 2FA a été activée avec succès.
flutter Wave Payment,Flutterwave Payment,Pago de onda fluida,الدفع Flutterwave,Paiement Flutterwave
card Number,Card Number,Número de tarjeta,رقم البطاقة,Numéro de carte
total Withdraw Amount,Total Withdraw Amount,Monto total de retiro,إجمالي مبلغ السحب,Montant total du retrait
api Key,API Key,Clave API,مفتاح API,clé API
primary Key,Primary Key,Clave primaria,المفتاح الأساسي,Clé primaire
secret Key,Secret Key,Llave secreta,المفتاح السري,Clef secrète
production Live,Go To Production Mode,Ir al modo de producción,انتقل إلى وضع الإنتاج,Passer en mode production
production Sand Box,Go To SandBox Mode,Ir al modo SandBox,انتقل إلى وضع SandBox,Passer en mode SandBox
developer API,Developer API,API de desarrollador,واجهة برمجة تطبيقات المطور,API de développeur
sand Box,SandBox,Salvadera,SandBox,Bac à sable
mode On,Mode On,Modo activado,الوضع قيد التشغيل,Mode activé
mode Off,Mode Off,Modo apagado,الوضع معطل,Mode désactivé
gateway Settings,Gateway Settings,Configuración de puerta de enlace,إعدادات البوابة,Paramètres de la passerelle
all Settings,All Settings,Todos los ajustes,جميع الإعدادات,Tous les paramètres
wallet Balance,Wallet Balance,Saldo de billetera,رصيد المحفظة,Solde du portefeuille
master Or Visa Card,Master / OR Visa Card,Tarjeta Master/O Visa,بطاقة ماستر / أو فيزا,Carte Master / OU Visa
enable Or Disable This Features,Enable Or Disable This Feature,Habilitar o deshabilitar esta función,تمكين أو تعطيل هذه الميزة,Activer ou désactiver cette fonctionnalité
production Mode Info,Do You want to change your api key?,¿Quieres cambiar tu clave API?,هل تريد تغيير مفتاح API الخاص بك؟,Voulez-vous changer votre clé API ?
copied To Clip Board,Copied to clipboard,Copiado al portapapeles,نسخ إلى الحافظة,Copié dans le presse-papier
received Payment Log,Received Payment Log,Registro de pagos recibidos,سجل الدفع المستلم,Journal des paiements reçus
type,Type,Tipo,يكتب,Taper
payment Amount,Payment Amount,Monto del pago,مبلغ الدفع,Montant du paiement
changeThemes,Change Themes,Cambiar temas,تغيير المواضيع,Changer de thème
stripePayment,Stripe Payment,Pago de franjas,الدفع الشريطي,Paiement Stripe
Create Link,Create Link,Crear enlace,إنشاء رابط,Créer un lien
Created At,Created At,Creado en,أنشئت في,Créé à
Customers Choose What To Pay,Customers Choose What To Pay,Los clientes eligen qué pagar,يختار العملاء ما يجب دفعه,Les clients choisissent quoi payer
Payment Page,Payment Page,Página de pago,صفحة الدفع,Page de paiement
Give customers more detail about what they're paying for.,Give customers more detail about what they're paying for.,Ofrezca a los clientes más detalles sobre lo que están pagando.,امنح العملاء مزيدًا من التفاصيل حول ما يدفعون مقابله.,Donnez aux clients plus de détails sur ce qu’ils paient.
Select One,Select One,Seleccione uno,حدد واحدًا,Sélectionnez-en un
Set limits,Set limits,Pon límites,ضع الحدود,Fixer des limites
Unit Price,Unit Price,Precio unitario,سعر الوحدة,Prix ​​unitaire
Name on card,Name on card,Nombre en la tarjeta,الاسم على البطاقة,Nom sur la carte
Pay faster on,Pay faster on,Paga más rápido en,ادفع بشكل أسرع على,Payez plus vite sur
Pay,Pay,Pagar,يدفع,Payer
Pay With A Debit/Credit Card,Pay With A Debit/Credit Card,Pague con una tarjeta de débito/crédito,ادفع باستخدام بطاقة الخصم/الائتمان,Payer avec une carte de débit/crédit
Go To Home,Go To Home,Ir a casa,اذهب إلى المنزل,Aller à la maison
Payment Again,Payment Again,Pago nuevamente,الدفع مرة أخرى,Paiement à nouveau
visa,Visa,Visa,تأشيرة,Visa
request Money,Request Money,Pedir dinero,طلب المال,Demande de l'argent
request Money Log,Request Money Logs,Solicitar registros de dinero,طلب سجلات الأموال,Demander des journaux d'argent
coin Gate Payment,Coingate Payment,Pago Coingate,الدفع كوينجيت,Paiement Coingate
no Record Found,noRecordFound,ningún record fue encontrado,لا يوجد سجلات,Aucun Enregistrement Trouvé
balance,Balance,Balance,توازن,Équilibre
fund Amount,Fund Amount,Monto del fondo,مبلغ الصندوق,Montant du fonds
total Pay,Total Pay,Pago total,إجمالي الأجر,Salaire total
card Information,Card Information,Información de la tarjeta,معلومات البطاقة,Informations sur la carte
reveal Details,Reveal Details,Revelar detalles,كشف التفاصيل,Révéler les détails
freeze Card,Freeze Card,Congelar tarjeta,بطاقة التجميد,Geler la carte
currency,Currency,Divisa,عملة,Devise
brand,Brand,Marca,ماركة,Marque
availabe Blance,Available Balance,Saldo disponible,الرصيد المتوفر,Solde disponible
payments,Payments,Pagos,المدفوعات,Paiements
update Link,Update Link,Enlace de actualización,تحديث الرابط,Lien de mise à jour
payments Log,Payments Log,Registro de pagos,سجل المدفوعات,Journal des paiements
payment Link Edit,Payment Link Edit,Enlace de pago Editar,تعديل رابط الدفع,Lien de paiement Modifier
closeS,Close,Cerca,يغلق,Fermer
editS,Edit,Editar,يحرر,Modifier
unlimited,Unlimited,Ilimitado,غير محدود,Illimité
select TypeS,Select Type,Seleccione tipo,اختر صنف,Sélectionner le genre
customer Choose,Customers choose what to pay,Los clientes eligen qué pagar,يختار العملاء ما يجب دفعه,Les clients choisissent quoi payer
products Or SubscriptionsS,Products or Subscriptions,Productos o Suscripciones,المنتجات أو الاشتراكات,Produits ou abonnements
imageS,Image,Imagen,صورة,Image
name Of Cause Or ServiceS,Name Of Cause Or Service,Nombre de la causa o servicio,اسم السبب أو الخدمة,Nom de la cause ou du service
titleS,Title,Título,عنوان,Titre
descriptionS,Description,Descripción,وصف,Description
description Hint,Give customers more detail about what they’re paying for.,Ofrezca a los clientes más detalles sobre lo que están pagando.,امنح العملاء مزيدًا من التفاصيل حول ما يدفعون مقابله.,Donnez aux clients plus de détails sur ce qu’ils paient.
set Limit,Set Limit,Establecer límite,تعيين الحد,Définir la limite
enter Your Product Name,- Enter your product name,- Introduzca el nombre de su producto,- أدخل اسم المنتج الخاص بك,- Entrez le nom de votre produit
payment Link Created Successfully,Payment Link Created Successfully,Enlace de pago creado con éxito,تم إنشاء رابط الدفع بنجاح,Lien de paiement créé avec succès
no Payment Created Yet,No payment created yet,Aún no se ha creado ningún pago,لم يتم إنشاء أي دفعة حتى الآن,Aucun paiement créé pour l'instant
kyc Unverified Text,"Your Kyc is Unverified, Please verify your KYC","Su Kyc no está verificado, verifique su KYC",لم يتم التحقق من Kyc الخاص بك، يرجى التحقق من KYC الخاص بك,"Votre Kyc n'est pas vérifié, veuillez vérifier votre KYC"
kyc Pending Text,Your KYC verification is pending,Su verificación KYC está pendiente,التحقق من KYC الخاص بك معلق,Votre vérification KYC est en attente
kyc Rejected Text,Your KYC verification is Rejected,Su verificación KYC es rechazada,تم رفض التحقق من KYC الخاص بك,Votre vérification KYC est rejetée
link Copied Successfully,Link Copied Successfully,Enlace copiado correctamente,تم نسخ الرابط بنجاح,Lien copié avec succès
link Edited Successfully,Link Edited Successfully,Enlace editado con éxito,تم تعديل الرابط بنجاح,Lien modifié avec succès
from Gallery,From Gallery,De la galería,من المعرض,De la galerie
from Camera,From Camera,Desde la cámara,من الكاميرا,Depuis la caméra
copy,Copy,Copiar,ينسخ,Copie
reject,Reject,Rechazar,يرفض,Rejeter
approve,Approve,Aprobar,يعتمد,Approuver
request Type,Request Type,tipo de solicitud,نوع الطلب,type de demande
request Money Success,Request Money Request Send Successful,Solicitar dinero Solicitud enviada exitosamente,تم إرسال طلب الأموال بنجاح,Demande d'argent Demande d'envoi réussie
pay Link,Pay Link,Enlace de pago,رابط الدفع,Lien de paiement
Minimum amount,Minimum Amount,Monto minimo,الحد الأدنى للمبلغ,Montant minimal
Maximum amount,Maximum Amount,Monto Máximo,الحد الأقصى للمبلغ,Quantité maximale
explain Trx,Explain Transaction Purposes Here…,Explique los propósitos de la transacción aquí...,اشرح أغراض المعاملة هنا...,Expliquez les objectifs de la transaction ici…
Password Reset Link sended to your email address.,Password Reset Link sended to your email address.,Enlace de restablecimiento de contraseña enviado a su dirección de correo electrónico.,تم إرسال رابط إعادة تعيين كلمة المرور إلى عنوان بريدك الإلكتروني.,Lien de réinitialisation du mot de passe envoyé à votre adresse e-mail.
Something went wrong! Please try again.,Something went wrong! Please try again.,¡Algo salió mal! Inténtalo de nuevo.,هناك خطأ ما! حاول مرة اخرى.,Quelque chose s'est mal passé ! Veuillez réessayer.
